Final annotation,Text,English Translation
Derogation,তুমার পোশাক দেখেই বুঝা যাচ্ছে কী হয়েছে,Loading...
Non Misogynistic,মেয়েটা চুপচাপ হলেও অনেক কিছু বোঝে,Loading...
Derogation,এই মেয়েটার নাক এত বড় যে নিঃশ্বাস নিলে আশেপাশের বাতাস শেষ হয়ে যায়,Loading...
Sexual Harassment,এইসব খোলা মেলা পোশাক পরে নিজেকে সুন্দর দেখিয়ে বাজারে চওড়া দামে বিক্রি হচ্ছে,Loading...
Non Misogynistic,মহিলা কবিটির কবিতা পাঠ্যপুস্তকে অন্তর্ভুক্ত হয়েছে।,Loading...
Derogation,তোর মতো মেয়ে সত্যিকারের উদ্যম দেখালে অনেক কিছু হতে পারতো।,Loading...
Stereotype,"বাচ্চা হলে মেয়েদের চাকরি ছেড়ে দেওয়াই স্বাভাবিক, সংসারই আগে",Loading...
Non Misogynistic,আপু তোমার জীবনের গল্পটা পড়ে অনেকক্ষণ ভাবলাম,Loading...
Stereotype,রান্নায় হাত না লাগালে বাড়ির মানসম্মান থাকে না।,Loading...
Non Misogynistic,মেয়েটা অডিটিং ফার্মে নিজের কাজের মান দিয়ে সম্মান অর্জন করেছে।,Loading...
Stereotype,"বলে রাখি, বউ হিসেবে রান্না না জানাটা সবচেয়ে বড় ব্যর্থতা — এটাই সত্য।",Loading...
Non Misogynistic,একটি পরিবার তখনই পূর্ণ হয় যখন প্রতিটি সদস্যের মতামত ও স্বপ্নকে সমান মূল্য দেওয়া হয়।,Loading...
Stereotype,মেয়েদের সিদ্ধান্ত সংসারে না টেনে আনাই ভালো,Loading...
Non Misogynistic,মেয়েটা নিজের ক্যারিয়ার গোছাতে পড়াশোনায় কোনো আপোস করেনি।,Loading...
Non Misogynistic,আপু সমাজের চাপের কাছে নতি স্বীকার করেননি,Loading...
Stereotype,আধুনিক মেয়েদের উচিত কোনো অবস্থাতেই বাবা মায়ের মুখের উপর কথা না বলা,Modern girls should never speak against their parents.
Non Misogynistic,বোনটি প্রতিকূলতা সত্ত্বেও এগিয়ে গেছেন,Loading...
Sexual Harassment,"মেয়েটার যে গঠন ছবি তুলতে জুম করতে লাগে না, অটো জুম হয়",Loading...
Stereotype,মেয়েরা নিজেরাই নিজেদেরকে জাজ করে,Loading...
Derogation,"তুমি নায়িকা হওয়ার স্বপ্ন দেখো, কিন্তু আয়নায় একবার দেখেছ নিজেকে?",Loading...
Derogation,তোদের মত মেয়েদের কারণে ছেলেদের চোখের নজর নষ্ট হয় -,Loading...
Non Misogynistic,মেয়েদের সমান মর্যাদা ও সুযোগ নিশ্চিত করা একটি সুষম ও ন্যায্য সমাজের শর্ত।,Loading...
Stereotype,মেয়েরা ছোট কথায় বড় আঘাত পায়,Loading...
Non Misogynistic,মেয়েটা নিজের যত্ন নিতে জানেন,Loading...
Non Misogynistic,আপুর কণ্ঠে রবীন্দ্রসঙ্গীত মনে শান্তি আনে,Loading...
Derogation,এই চাকমা কিভাবে বাংলাদেশের নায়িকা হয় !,Loading...
Sexual Harassment,ওরে দেখতে ভালো না লাগলেও শরীর টা কিন্তু সেই জিনিস যেটা ওই মেয়ের মধ্যে আছে,Loading...
Stereotype,প্রেমে পড়লে মেয়েদের যুক্তিজ্ঞান এক রাতেই উবে যায়,Loading...
Non Misogynistic,মহিলা গণিতবিদ সংখ্যা ও সূত্রের জাদুকর,Female mathematician is a magician of numbers and formulas
